,ticker,cik
4599,cffn,0001490906
1265,cfg,0000759944
3454,cfii,0001811856
5695,cfms,0001305773
4385,cfr,0000039263
874,cfrx,0001478069
1663,cfx,0001420800
496,cg,0001527166
2059,cga,0000857949
5417,cgbd,0001544206
2532,cgc,0001737927
2055,cgen,0001119774
4307,cgix,0001349929
2280,cgnx,0000851205
513,cgo,0001285650
4863,cgro,0001799611
499,cha,0001191255
635,chaq,0001799850
2485,chci,0001299969
2920,chco,0000726854
5176,chct,0001631569
4745,chd,0000313927
2909,chdn,0000020212
5371,che,0000019584
3525,chef,0001517175
2944,chek,0001610590
1187,chfs,0001506492
5931,chgg,0001364954
184,chh,0001046311
211,chi,0001171471
844,chkp,0001015922
957,chl,0001117795
1549,chma,0001339469
3145,chmg,0000763563
1312,chmi,0001571776
4154,chn,0000845379
4764,chng,0001756497
4031,chnr,0000793628
3909,chpm,0001785041
1747,chra,0001730346
1925,chrs,0001512762
5781,chrw,0001043277
5650,chs,0000897429
3108,chscl,0000823277
4397,cht,0001132924
1696,chtr,0001091667
1989,chu,0001113866
2564,chuy,0001524931
3771,chw,0001396277
1753,chwy,0001766502
2857,chx,0001723089
4228,chy,0001222719
4392,ci,0001739940
3147,cia,0000024090
1557,cib,0001071371
1104,cidm,0001173204
3867,cien,0000936395
5225,cif,0000833021
5511,cig,0001157557
3016,cigi,0000913353
1759,cih,0001749797
5134,cii,0001278895
2137,ciic,0001789760
5483,cik,0000810766
1144,cim,0001409493
1076,cinf,0000020286
3258,cinr,0001575051
159,cio,0001593222
2273,cir,0001091883
872,cit,0001171825
4945,civb,0000944745
2505,cix,0001049606
2237,cizn,0001075706
2331,cjjd,0001413263
2858,ckh,0000859598
4972,ckpt,0001651407
1195,ckx,0000352955
1723,cl,0000021665
2320,cla,0001816581
4380,clar,0000913277
5488,clb,0001000229
5933,clbk,0001723596
839,clbs,0000320017
799,clct,0001089143
5114,cldb,0000774569
5891,cldr,0001535379
1308,cldt,0001476045
4299,cldx,0000744218
585,cleu,0001775085
2743,clf,0000764065
3662,clfd,0000796505
5763,clgn,0001631487
269,clgx,0000036047
5550,clh,0000822818
4833,cli,0000924901
1885,clir,0001434524
1996,clls,0001627281
5345,clm,0000814083
2068,clmt,0001340122
4647,clnc,0001717547
63,clne,0001368265
4753,clny,0001679688
2921,clpr,0001649096
808,clps,0001724542
4044,clpt,0001285550
2964,clr,0000732834
49,clrb,0001279704
11,clro,0000840715
2163,cls,0001030894
5244,clsd,0001539029
4446,clsk,0000827876
1899,clsn,0000749647
5324,clvs,0001466301
1624,clw,0001441236
3482,clwt,0001026662
2262,clx,0000021076
2629,clxt,0001705843
2902,cm,0001045520
5915,cma,0000028412
4094,cmbm,0001738177
2540,cmc,0000022444
2894,cmcl,0000766011
4487,cmcm,0001597835
5163,cmco,0001005229
1845,cmct,0000908311
4314,cmd,0000019446
3861,cme,0001156375
179,cmfnl,0001578348
3540,cmg,0001058090
5934,cmi,0000026172
450,cmlfu,0001818331
2624,cmls,0001058623
3553,cmo,0000766701
2561,cmp,0001227654
58,cmpi,0001651431
5071,cmpr,0001262976
3534,cmps,0001816590
1619,cmre,0001503584
268,cmrx,0001117480
3304,cms,0000811156
4982,cmt,0001026655
1466,cmtl,0000023197
1393,cmu,0000809844
3370,cna,0000021175
5498,cnbka,0000812348
3089,cnc,0001071739
4341,cnce,0001367920
4903,cndt,0001677703
1153,cnet,0001376321
2558,cnf,0001733868
1768,cnfr,0001502292
2469,cnhi,0001567094
5905,cni,0000016868
3765,cnk,0001385280
3190,cnmd,0000816956
3096,cnnb,0001787005
4806,cnne,0001704720
1111,cno,0001224608
613,cnob,0000712771
3054,cnp,0001130310
5501,cnq,0001017413
1449,cnr,0000883902
1779,cns,0001284812
5156,cnsl,0001304421
1154,cnsp,0001729427
3907,cnst,0001434418
849,cntg,0001757097
3206,cnty,0000911147
5127,cnx,0001070412
3292,cnxn,0001050377
1336,co,0001467808
4769,cocp,0001412486
3770,coda,0001334325
4115,codi,0001345126
1735,codx,0001692415
1605,coe,0001659494
1288,cof,0000927628
2918,cofs,0000803164
1334,cog,0000858470
3493,cogt,0001622229
4469,cohn,0001270436
4077,cohr,0000021510
544,cohu,0000021535
4516,coke,0000317540
605,colb,0000887343
3855,cold,0001455863
5016,coll,0001267565
897,colm,0001050797
2803,comm,0001517228
1910,cone,0001553023
2402,conn,0001223389
4147,conxu,0001823000
2837,coo,0000711404
4552,coop,0000933136
2592,cop,0001163165
2399,cor,0001490892
2439,core,0001318084
680,corr,0001347652
5423,cort,0001088856
5558,cost,0000909832
3480,coty,0001024305
3503,coup,0001385867
910,cown,0001466538
3393,cp,0000016875
3777,cpa,0001345105
404,cpac,0001221029
1906,cpah,0001236997
122,cpb,0000016732
1836,cpe,0000928022
3979,cpf,0000701347
3158,cpg,0001545851
117,cphc,0001672909
2789,cphi,0001106644
3856,cpix,0001087294
1830,cpk,0000019745
1171,cplg,0001707178
328,cplp,0001392326
3488,cpri,0001530721
5388,cprt,0000900075
