,cik,first_date,last_date,min_cos,max_cos,avg_cos,min_jaccard,max_jaccard,avg_jaccard,ticker
4619,1648428,2016-03-14,2020-03-31,0.8850119647778252,0.9270978894524788,0.8985996607609288,0.7936444086886565,0.8636546994755949,0.815881515798509,sqbg
4620,1080657,2009-05-29,2019-03-25,0.8415512324379033,0.9229677611602136,0.8880996033078142,0.7254681647940074,0.8564560439560439,0.7993434633787629,sqft
4621,909037,,,,,,,,,sqm
4622,1383395,,,,,,,,,sqns
4623,1126956,,,,,,,,,sr
4624,1781162,,,,,,,,,srac
4625,1538217,2013-04-01,2020-05-01,0.7936292356724064,0.9082271179727326,0.834349878704824,0.6569215876089061,0.831876260928043,0.716278419360963,srax
4626,1308606,2006-03-23,2019-02-21,0.6196910883508202,0.9205874856060234,0.8466642221306954,0.4489472851036885,0.8528503807367771,0.737306655463978,src
4627,34782,,,,,,,,,srce
4628,861878,,,,,,,,,srcl
4629,924717,2001-12-27,2019-12-03,0.7697046007012192,0.9384479038259362,0.8987252519274046,0.6057666397197521,0.8840163934426228,0.816418383027151,srdx
4630,1032208,,,,,,,,,sre
4631,1310114,2012-03-06,2019-02-28,0.8519194406981391,0.9185457910653458,0.8851859001886891,0.7420318725099602,0.8493602971522906,0.7945233529418367,srev
4632,1628063,2016-03-11,2019-03-01,0.8397555216303879,0.939000326557526,0.9032741971499032,0.7111777944486122,0.8847795163584637,0.8223251958564927,srg
4633,1760173,,,,,,,,,srga
4634,1043337,,,,,,,,,sri
4635,16859,,,,,,,,,srl
4636,1525287,2014-03-27,2020-03-05,0.8476074363956763,0.9432177155195456,0.9106638073903519,0.7353364232060092,0.8924973949287948,0.8372848225326167,srlp
4637,850261,2009-03-30,2019-03-15,0.5592717129485409,0.9049973618957686,0.8256915109678182,0.3829374697043141,0.8264142826414282,0.7125497410887497,srne
4638,873303,2001-03-27,2019-02-28,0.7342244856378495,0.9212085999609329,0.8766145054872668,0.5763114604277098,0.8538461538461538,0.7822502802989041,srpt
4639,1290149,2016-03-03,2020-03-03,0.8547641095660328,0.9436649790406876,0.9081302217466023,0.7457074175824175,0.8932445290199811,0.8327433037928198,srra
4640,1727196,2019-03-19,2020-03-12,0.936670230511206,0.936670230511206,0.936670230511206,0.8808446455505279,0.8808446455505279,0.8808446455505279,srrk
4641,1821682,,,,,,,,,srsau
4642,1031029,,,,,,,,,srt
4643,1494891,2017-03-10,2020-03-06,0.9402396127049352,0.9591264177707224,0.9484499786542916,0.8870523415977961,0.9214368482039398,0.9019909601296249,srts
4644,1400897,,,,,,,,,srv
4645,764038,,,,,,,,,ssb
4646,920371,,,,,,,,,ssd
4647,1051514,2006-03-29,2020-03-17,0.6938248278437846,0.9581265321417296,0.8936369347242394,0.5258033106134372,0.9195754235558276,0.8121535155040026,sskn
4648,314590,,,,,,,,,ssl
4649,1402436,2011-03-11,2019-03-01,0.837805463667297,0.9382424221521466,0.9079088264954782,0.7208767898179247,0.8832970081236378,0.8326923943396931,ssnc
4650,1236275,2009-04-06,2020-03-26,0.7807688332646787,0.9460654679358946,0.8888546037127177,0.638798876647224,0.8976506164224238,0.8023227695119298,ssnt
4651,832428,2002-03-28,2019-03-01,0.7883045644649482,0.921451165199402,0.8631816363301702,0.6495670995670996,0.8542738182708792,0.7606203188149282,ssp
4652,1779474,,,,,,,,,sspk
4653,921638,,,,,,,,,ssrm
4654,1509470,2012-03-13,2020-03-13,0.8246817121622203,0.9303843926572544,0.887100073040509,0.7013078826440439,0.8698249227600412,0.7974426977794096,ssss
4655,1351636,2018-03-28,2020-03-13,0.9123804370337316,0.9432696598188852,0.9278250484263084,0.8384828862164663,0.8926249303362437,0.865553908276355,ssti
4656,1549346,2013-03-01,2019-02-26,0.8203626717511479,0.9292817596383812,0.8942810895479653,0.6934566145092461,0.8676720075400566,0.8103896762265732,sstk
4657,96793,,,,,,,,,ssy
4658,1517396,,,,,,,,,ssys
4659,1477294,2011-01-31,2019-02-06,0.8345524229270249,0.9179267169984114,0.8902815544407485,0.7160568491079529,0.8482956463044212,0.80331730895229,st
4660,718937,,,,,,,,,staa
4661,1499717,2011-08-17,2020-05-11,0.6077701016248211,0.9098699488953994,0.8076530861700707,0.4363636363636363,0.8343044428259286,0.6837454773509416,staf
4662,1479094,2012-03-09,2019-02-13,0.8235534112519056,0.9317764287105774,0.8764643765453843,0.6992005329780147,0.871289184139506,0.7811993547813765,stag
4663,1095651,,,,,,,,,star          
4664,1581164,2014-03-20,2019-02-27,0.8236960462035325,0.9333179786956532,0.885721200374187,0.6999146029035013,0.8748603351955307,0.7971712070396331,stay
4665,719220,2002-03-19,2019-02-21,0.7201438438257526,0.9269623933776698,0.8813379855984153,0.5335409000849136,0.8638314475224347,0.7885713078466556,stba
4666,94344,,,,,,,,,stc
4667,914712,,,,,,,,,stcn
4668,1757898,,,,,,,,,ste
4669,1796022,,,,,,,,,step
4670,874977,,,,,,,,,stfc
4671,1723935,,,,,,,,,stg
4672,1227636,2019-03-05,2020-03-03,0.8935815619842724,0.8935815619842724,0.8935815619842724,0.8061123890897142,0.8061123890897142,0.8061123890897142,stim
4673,1471420,,,,,,,,,stk
4674,351834,,,,,,,,,stkl
4675,1399520,2009-03-26,2020-03-26,0.5745383144961724,0.96739395636001,0.8337029598991973,0.3907056798623064,0.9364697802197802,0.7272143768218762,stks
4676,1070154,,,,,,,,,stl
4677,1022671,,,,,,,,,stld
4678,932787,,,,,,,,,stm
4679,1082923,,,,,,,,,stmp
4680,1131383,,,,,,,,,stn
